Status,Subj,Num,Title Short,Title Long,Type/Instr Met,Level,College,Dept,Cred Hrs,Description
Active,ACC,1990,Elective,Elective,Type: Off-campus instruction | Instr Met:,UC,PS,CPS,1 to 4,Offers elective credit for courses taken at other academic institutions. May be repeated without limit.
Active,ACC,2100,Financial Accounting,Financial Accounting,Type: Lecture | Instr Met:,UC,PS,CPS,3,"Examines the development, objective, and purpose of financial statements. Emphasizes the preparation, analysis, and use of these statements to make operating, financial, and investment decisions. Covers the underlying methods, concepts, principles, and measurement theories. Topics include understanding the operating cycle, receivables, inventories, plant and equipment, intangible assets, liabilities, bonds, ownership, and stockholders’ equity. Special topics include the mathematics of present value theory, calculations, and applications."
Active,ACC,2200,Managerial Accounting,Managerial Accounting,Type: Lecture | Instr Met:,UC,PS,CPS,3,"Examines the fundamental tools and principles of managerial accounting for decision-making purposes, including planning and control. Covers cost determination, assignment, definition, and behavior. Requires students to prepare management accounting reports and statements for internal decision-making purposes, including the preparation of budgets and contribution margin statements. Topics include job order, process costing, activity-based costing (ABC), inventory techniques, variance analysis, CVP analysis, and budgeting."
Active,ACC,2300,Cost Accounting,Cost Accounting,Type: Lecture | Instr Met:,UC,PS,CPS,3,"Examines the concepts and methodologies useful to understand a cost accounting system for business decision-making, cost control, and performance assessment. Studies cost analysis and explores statistical methods in measuring cost behavior, overhead, and fixed costs. Introduces capital budgeting techniques for equipment replacement and long-term asset management given the relevant range of productive capacity. Compares and analyzes decentralization, segment, and divisional management accounting. Topics include marginal cost relevancy, make-or buy decisions, multiple product cost assignment and production methods, joint costs and by-products, responsibility accounting, activity-based costing, just-in-time cost systems, economic value added, residual income, the balance scorecard, and return on investment techniques."
Active,ACC,3201,Fin Reporting & Analysis 1,Financial Reporting and Analysis 1,Type: Lecture | Instr Met:,UC,PS,CPS,3,"Examines in greater depth the foundational principles, concepts, and measurement theories relating to financial reporting and stewardship. Focuses on the objectives of financial statements for various users such as lenders, investors, and various stakeholder groups. Emphasizes the accounting conceptual framework, including the guidance and standards promulgated by various standards-setting and regulatory bodies. Topics include the measurement, valuation, and disclosure of receivables, inventories, tangible and intangible assets, depreciation methods, revenue-recognition principles, and required footnotes."
Active,ACC,3202,Fin Reporting & Analysis 2,Financial Reporting and Analysis 2,Type: Lecture | Instr Met:,UC,PS,CPS,3,"Continues the examination in greater depth of the foundational principles, concepts, and measurement theories relating to financial reporting and stewardship. Focuses on the objectives of financial statements for various users such as lenders, investors, and various stakeholder groups. Emphasizes the accounting conceptual framework, including the guidance and standards promulgated by various standards-setting and regulatory bodies. Topics include the measurement, valuation, and disclosure of liabilities, bond obligations, retirement obligations, reconciliation of deferred taxes and required tax disclosures, various corporate ownership interests, stock options, accounting changes, statement of cash flows, and required footnotes."
Active,ACC,3330,Principles of Auditing,Principles of Auditing,Type: Lecture | Instr Met:,UC,PS,CPS,3,"Examines audit principles, concepts, and standards relevant to the attest function. Explores the objectives of audited financial statements performed by certified public accountants in compliance with AICPA auditing standards, PCAOB standards and guidelines, and SEC rules and regulations for publicly held companies. Also explores the objectives of audited financial statements and other lower-level services (such as reviews and compilations) performed for privately held nonpublic companies. Topics include ethical and legal liabilities of the auditor, including the independence and skepticism requirement, internal control, audit evidence, audit procedures, audit compliance and substantive testing, statistical sampling, transaction cycle testing, and the role of the audited reports on the efficiency of capital markets."
Active,ACC,3410,Principles of Taxation,Principles of Taxation,Type: Lecture | Instr Met:,UC,PS,CPS,3,"Covers the objectives and principles of taxation, including the economic policy underlying various tax systems--property, consumption, value added, federal, and state income tax regimes. Explores the marginal tax structure and studies the component parts of the tax accounting equation in full, including the definitions and terminology described in the U.S. tax code. Emphasizes the tax compliance responsibilities and tax accounting methods and required reporting obligations for individuals, corporations, and various pass-through entities such as partnerships and subchapter S corporations."
Active,ACC,3990,Elective,Elective,Type: Off-campus instruction | Instr Met:,UC,PS,CPS,1 to 4,Offers elective credit for courses taken at other academic institutions. May be repeated without limit.
Active,ACC,4320,Financial Statement Analysis,Financial Statement Analysis,Type: Lecture | Instr Met:,UC,PS,CPS,3,"Explores the process, tools, principles, and concepts of financial reporting, financial statement analysis, and valuation used by investors and analysts. Covers analysis of financial information and firm-specific data, emphasizing the structure of financial statements. Focuses on use of this data for equity and debt valuation as part of security analysis and portfolio management. Studies analysis of individual investments, focusing on pricing shares of stock and creating valuation models and specific criteria used in lending decisions. Topics include models of intrinsic value; comparison of accrual accounting and discounted cash flow approaches to valuation; analysis of firm profitability, growth, risk analysis, and value generation; and assessment of accounting quality, forecasting earnings and cash flows, pro forma analysis for strategy and planning, and study of nonfinancial metrics."
