"","Status","id","Title Short","Title Long","Type/Instr Met","Level","College","Dept","Cred Hrs","Description","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","doc_id","ADJ","ADP","ADV","AUX","CCONJ","DET","INTJ","NOUN","NUM","PART","PRON","PROPN","PUNCT","SCONJ","SYM","VERB","X","ADJ_ratio","ADP_ratio","ADV_ratio","AUX_ratio","CCONJ_ratio","DET_ratio","INTJ_ratio","NOUN_ratio","NUM_ratio","PART_ratio","PRON_ratio","PROPN_ratio","PUNCT_ratio","SCONJ_ratio","SYM_ratio","VERB_ratio","X_ratio","total_words_ratio","sentiment"
"1","Active","ACC_1990","Elective","Elective","Type: Off-campus instruction | Instr Met:","UC","PS","CPS","1 to 4","offer elective credit for course take at other academic institution. May be repeat without limit.",0.00371644583363491,0.00371644583363491,0.00371644583363491,0.0037164458336349,0.00371644583363491,0.00371644583363491,0.0037164458336349,0.00371644583363491,0.947969758329111,0.00371644583363491,0.0037164458336349,0.00371644583363491,0.0037164458336349,0.00371644583363491,0.00371644583363491,0,0,0,0,0,0,0,2,0,3,"doc1",3,3,0,2,0,0,0,5,0,0,0,0,2,0,0,2,0,0.176470588235294,0.176470588235294,0,0.117647058823529,0,0,0,0.294117647058824,0,0,0,0,0.117647058823529,0,0,0.117647058823529,0,17,0.125
"2","Active","ACC_2100","Financial Accounting","Financial Accounting","Type: Lecture | Instr Met:","UC","PS","CPS","3","examine the development, objective, and purpose of financial statement. emphasize the preparation, analysis, and use of this statement to make operate, financial, and investment decision. cover the underlie method, concept, principle, and measurement theory. topic include understand the operate cycle, receivable, inventory, plant and equipment, intangible asset, liability, bond, ownership, and stockholder ’ equity. Special topic include the mathematics of present value theory, calculation, and application.",0.826310262947779,0.000620332635211628,0.000620332635211632,0.000620332635211601,0.000620332635211629,0.000620332635211658,0.000620332635211598,0.000620332635211638,0.000620332635211595,0.000620332635211616,0.16562541279447,0.000620332635211561,0.000620332635211638,0.000620332635211612,0.000620332635211586,0,5,0,0,2,0,1,6,0,7,"doc2",10,3,0,0,7,6,0,31,0,1,0,0,25,0,0,7,0,0.111111111111111,0.0333333333333333,0,0,0.0777777777777778,0.0666666666666667,0,0.344444444444444,0,0.0111111111111111,0,0,0.277777777777778,0,0,0.0777777777777778,0,90,0.108333333333333
"3","Active","ACC_2200","Managerial Accounting","Managerial Accounting","Type: Lecture | Instr Met:","UC","PS","CPS","3","examine the fundamental tool and principle of managerial account for decision - make purpose, include plan and control. cover cost determination, assignment, definition, and behavior. require student to prepare management account report and statement for internal decision - make purpose, include the preparation of budget and contribution margin statement. topic include job order, process cost, activity - base cost ( ABC ), inventory technique, variance analysis, CVP analysis, and budget.",0.406279681045026,0.00055756278630104,0.000557562786300992,0.000557562786301053,0.000557562786301033,0.000557562786301073,0.000557562786300975,0.000557562786301033,0.000557562786301023,0.538177366038193,0.0488521994811688,0.000557562786301061,0.000557562786301043,0.000557562786301046,0.000557562786301023,0,3,0,0,0,1,0,8,1,7,"doc3",4,4,0,0,6,2,0,38,0,1,0,1,20,0,0,9,0,0.0470588235294118,0.0470588235294118,0,0,0.0705882352941176,0.0235294117647059,0,0.447058823529412,0,0.0117647058823529,0,0.0117647058823529,0.235294117647059,0,0,0.105882352941176,0,85,0.003125
"4","Active","ACC_2300","Cost Accounting","Cost Accounting","Type: Lecture | Instr Met:","UC","PS","CPS","3","examine the concept and methodology useful to understand a cost account system for business decision - make, cost control, and performance assessment. study cost analysis and explore statistical method in measure cost behavior, overhead, and fix cost. introduce capital budget technique for equipment replacement and long - term asset management give the relevant range of productive capacity. compare and analyze decentralization, segment, and divisional management account. topic include marginal cost relevancy, make - or buy decision, multiple product cost assignment and production method, joint cost and by - product, responsibility account, activity - base cost, just - in - time cost system, economic value add, residual income, the balance scorecard, and return on investment technique.",0.322494113281135,0.00035135633883498,0.0519515149745588,0.000351356338834934,0.000351356338834975,0.000351356338834988,0.000351356338834988,0.000351356338834973,0.000351356338834969,0.621338095678287,0.0003513563388351,0.00035135633883503,0.000351356338834982,0.000351356338834986,0.000351356338835009,0,5,0,0,1,1,1,10,1,8,"doc4",12,7,1,0,11,4,0,60,0,2,1,0,28,0,0,11,0,0.0875912408759124,0.0510948905109489,0.0072992700729927,0,0.0802919708029197,0.0291970802919708,0,0.437956204379562,0,0.0145985401459854,0.0072992700729927,0,0.204379562043796,0,0,0.0802919708029197,0,137,0.125
"5","Active","ACC_3201","Fin Reporting & Analysis 1","Financial Reporting and Analysis 1","Type: Lecture | Instr Met:","UC","PS","CPS","3","examine in great depth the foundational principle, concept, and measurement theory relate to financial report and stewardship. focus on the objective of financial statement for various user such as lender, investor, and various stakeholder group. emphasize the account conceptual framework, include the guidance and standard promulgate by various standard - set and regulatory body. topic include the measurement, valuation, and disclosure of receivable, inventory, tangible and intangible asset, depreciation method, revenue - recognition principle, and require footnote.",0.942119533145769,0.000569079522193481,0.000569079522193497,0.000569079522193546,0.00056907952219356,0.000569079522193544,0.000569079522193541,0.000569079522193554,0.000569079522193548,0.000569079522193556,0.000569079522193454,0.0504824330657154,0.000569079522193483,0.000569079522193544,0.000569079522193507,0,2,0,2,0,0,0,9,2,6,"doc5",16,8,0,0,9,5,0,32,0,0,0,0,18,0,0,4,1,0.172043010752688,0.0860215053763441,0,0,0.0967741935483871,0.0537634408602151,0,0.344086021505376,0,0,0,0,0.193548387096774,0,0,0.043010752688172,0.010752688172043,93,0.110227272727273
"6","Active","ACC_3202","Fin Reporting & Analysis 2","Financial Reporting and Analysis 2","Type: Lecture | Instr Met:","UC","PS","CPS","3","continue the examination in great depth of the foundational principle, concept, and measurement theory relate to financial report and stewardship. focus on the objective of financial statement for various user such as lender, investor, and various stakeholder group. emphasize the account conceptual framework, include the guidance and standard promulgate by various standard - set and regulatory body. topic include the measurement, valuation, and disclosure of liability, bond obligation, retirement obligation, reconciliation of defer tax and require tax disclosure, various corporate ownership interest, stock option, account change, statement of cash flow, and require footnote.",0.968267691512902,0.000463717954406025,0.000463717954406023,0.000463717954406038,0.000463717954406076,0.000463717954406058,0.000463717954406058,0.000463717954406077,0.000463717954406054,0.000463717954406054,0.00046371795440601,0.025703975079819,0.000463717954406044,0.00046371795440607,0.000463717954406038,1,6,0,5,3,2,1,13,4,14,"doc6",15,11,0,0,9,6,0,44,0,0,0,0,20,0,0,6,1,0.133928571428571,0.0982142857142857,0,0,0.0803571428571429,0.0535714285714286,0,0.392857142857143,0,0,0,0,0.178571428571429,0,0,0.0535714285714286,0.00892857142857143,112,0.080448717948718
"7","Active","ACC_3330","Principles of Auditing","Principles of Auditing","Type: Lecture | Instr Met:","UC","PS","CPS","3","examine audit principle, concept, and standard relevant to the attest function. explore the objective of audit financial statement perform by certify public accountant in compliance with AICPA audit standard, PCAOB standard and guideline, and SEC rule and regulation for publicly hold company. Also explore the objective of audit financial statement and other low - level service ( such as review and compilation ) perform for privately hold nonpublic company. topic include ethical and legal liability of the auditor, include the independence and skepticism requirement, internal control, audit evidence, audit procedure, audit compliance and substantive test, statistical sample, transaction cycle test, and the role of the audit report on the efficiency of capital market.",0.914420093414768,0.000360552552057773,0.00036055255205786,0.000360552552057773,0.000360552552057779,0.00036055255205777,0.000360552552057778,0.000360552552057764,0.00036055255205775,0.000360552552057736,0.0808927234084805,0.000360552552057772,0.000360552552057749,0.000360552552057762,0.000360552552057761,0,4,0,3,1,0,1,14,0,14,"doc7",19,13,2,0,10,9,0,49,1,0,0,1,19,0,0,6,0,0.147286821705426,0.10077519379845,0.0155038759689922,0,0.0775193798449612,0.0697674418604651,0,0.37984496124031,0.00775193798449612,0,0,0.00775193798449612,0.147286821705426,0,0,0.0465116279069767,0,129,0.194852941176471
"8","Active","ACC_3410","Principles of Taxation","Principles of Taxation","Type: Lecture | Instr Met:","UC","PS","CPS","3","cover the objective and principle of taxation, include the economic policy underlie various tax system - - property, consumption, value add, federal, and state income tax regime. explore the marginal tax structure and study the component part of the tax account equation in full, include the definition and terminology describe in the U. S. tax code. emphasize the tax compliance responsibility and tax account method and require report obligation for individual, corporation, and various pass - through entity such as partnership and subchapter S corporation.",0.776794338444927,0.000557562786301026,0.000557562786300996,0.000557562786301048,0.149639305014256,0.000557562786301035,0.000557562786301023,0.000557562786301021,0.000557562786301034,0.000557562786301015,0.0668756031052049,0.00055756278630104,0.000557562786301036,0.000557562786300989,0.000557562786301045,0,3,0,0,1,2,0,11,2,9,"doc8",9,7,0,0,8,8,0,40,0,0,0,2,15,0,0,7,1,0.0927835051546392,0.0721649484536082,0,0,0.0824742268041237,0.0824742268041237,0,0.412371134020619,0,0,0,0.0206185567010309,0.154639175257732,0,0,0.0721649484536082,0.0103092783505155,97,0.141666666666667
"9","Active","ACC_3990","Elective","Elective","Type: Off-campus instruction | Instr Met:","UC","PS","CPS","1 to 4","offer elective credit for course take at other academic institution. May be repeat without limit.",0.00371644583363491,0.00371644583363491,0.00371644583363491,0.0037164458336349,0.00371644583363491,0.00371644583363491,0.0037164458336349,0.00371644583363491,0.947969758329111,0.00371644583363491,0.0037164458336349,0.00371644583363491,0.0037164458336349,0.00371644583363491,0.00371644583363491,0,0,0,0,0,0,0,2,0,3,"doc9",3,3,0,2,0,0,0,5,0,0,0,0,2,0,0,2,0,0.176470588235294,0.176470588235294,0,0.117647058823529,0,0,0,0.294117647058824,0,0,0,0,0.117647058823529,0,0,0.117647058823529,0,17,0.125
"10","Active","ACC_4320","Financial Statement Analysis","Financial Statement Analysis","Type: Lecture | Instr Met:","UC","PS","CPS","3","explore the process, tool, principle, and concept of financial report, financial statement analysis, and valuation use by investor and analyst. cover analysis of financial information and firm - specific datum, emphasize the structure of financial statement. focus on use of this datum for equity and debt valuation as part of security analysis and portfolio management. study analysis of individual investment, focus on price share of stock and create valuation model and specific criterion use in lend decision. topic include model of intrinsic value; comparison of accrual account and discount cash flow approach to valuation; analysis of firm profitability, growth, risk analysis, and value generation; and assessment of account quality, forecast earnings and cash flow, pro forma analysis for strategy and plan, and study of nonfinancial metric.",0.761387256927853,0.000334302951180356,0.000334302951180339,0.000334302951180352,0.000334302951180328,0.000334302951180367,0.139380189401834,0.000334302951180325,0.000334302951180341,0.0952209182561485,0.000334302951180449,0.000334302951180332,0.000334302951180346,0.000334302951180337,0.000334302951180351,1,7,0,2,3,1,1,11,2,15,"doc10",12,21,0,0,16,3,0,65,0,0,0,0,22,0,0,6,2,0.0816326530612245,0.142857142857143,0,0,0.108843537414966,0.0204081632653061,0,0.442176870748299,0,0,0,0,0.149659863945578,0,0,0.0408163265306122,0.0136054421768707,147,0.0503472222222222
"11","Active","ACC_4410","Advanced Taxation","Advanced Taxation","Type: Lecture | Instr Met:","UC","PS","CPS","3","continue the study of taxation, include tax - plan strategy, the tax legislative process, tax controversy and litigation, the hierarchy of tax authority, and tax research and write technique. emphasize the tax - plan technique and opportunity for individual and business to avoid or minimize the present value of tax liability through property acquisition; exchange and disposition; defer and installment sale; corporate reorganization; liquidation; and other pass - through entity structure such as limit liability company, trust, estate, and personal hold company. integrate the analysis of legislative motive to provide incentive to promote desire economic and social behavior and to exact penalty to discourage undesirable economic and social activity.",0.481251790700407,0.00039127567380776,0.000391275673807745,0.0003912756738077,0.434911915322132,0.000391275673807738,0.000391275673807717,0.000391275673807864,0.0146024277699811,0.0649298337955944,0.000391275673807738,0.000391275673807732,0.000391275673807764,0.000391275673807739,0.000391275673807791,2,4,1,4,1,4,1,9,8,10,"doc11",13,8,0,0,13,6,0,51,0,5,0,0,19,0,0,10,0,0.104,0.064,0,0,0.104,0.048,0,0.408,0,0.04,0,0,0.152,0,0,0.08,0,125,0.106359649122807
